temperature,humidity,water_sensor,action
32.7,74.6,188,0
29.7,62,87,0
31.1,56.3,52,0
25.3,92.1,3955,2
32.4,53.1,88,0
34.9,43.5,14,0
31.7,64,54,0
23.9,98.6,3646,2
30.5,63.7,59,0
29.3,60.3,91,0
27.7,69.9,34,0
23,96.6,4025,2
28.2,71.4,190,0
25.2,90.1,2995,2
32.5,61.8,214,0
32.8,76.9,236,0
36.6,48.9,123,1
32.4,44.1,88,0
25.1,92,4086,2
26.5,94.5,2288,2
25.7,96.5,227,1
26.1,89.3,3071,2
31,73.3,171,0
25.5,94.7,661,1
26.6,88.1,2397,2
30.1,68.6,41,0
28.2,77.9,240,0
34.1,62.7,142,0
24.1,86,3266,2
37.4,60.2,133,1
28.3,68.3,127,0
27.5,89.1,3248,2
35.2,40,2,1
34.1,50.4,50,0
32,44.2,95,0
29.4,61.3,51,0
35.6,57.8,100,1
30.3,55.2,129,0
27.2,66.9,125,0
33.9,64.6,67,0
33,46.1,37,0
30.8,72.7,239,0
23.8,91.6,2463,2
34.7,56.9,146,0
28.2,80.2,1288,2
26.5,89.1,1440,2
27.9,78.1,1062,2
28.3,83.3,1680,2
30.7,62.4,36,0
23.9,88.6,2815,2
27.3,90.3,2627,2
31.3,62.5,83,0
29.2,78.8,152,0
31.3,53.7,53,0
33,63.5,67,0
32.6,58.7,127,0
27.9,79.6,1487,2
32.9,46.6,37,0
23.9,99.1,3026,2
25.5,92.5,2959,2
24.2,91.5,2546,2
23.2,97.9,2157,2
25.7,93.7,4060,2
23.7,99.7,3699,2
24.5,90,3184,2
31.4,53.9,53,0
27.3,76.5,1653,2
28.5,65.9,272,0
23.7,94.2,3062,2
36.5,60.3,12,1
30,55.7,19,0
24.8,98,670,1
34.6,51,85,0
31.2,64.5,149,0
27.2,60.7,270,0
27.8,70.4,52,0
37.7,51.4,5,1
34.3,53.5,54,0
31.1,64.2,105,0
36.4,46.8,91,1
26,77.8,1590,2
31.1,61.2,121,0
32,53.7,47,0
37.5,56,68,1
23.7,92.5,634,1
23.1,86.5,3092,2
32.5,64.5,143,0
33.9,51.8,32,0
30.9,61,245,0
22.2,93.7,641,1
30.2,73.7,15,0
35.1,40.7,127,1
25.2,96.8,579,1
36.5,60.5,11,1
32.8,78.1,43,0
31.7,49.4,34,0
35.2,49.6,89,1
32.1,52.4,57,0
27.5,88.2,1528,2
24.4,87.3,2456,2
30.5,74.6,35,0
31.7,66.8,189,0
28.4,73.6,278,0
23.5,96.7,2061,2
29.3,66,18,0
27.1,78.1,75,0
32.7,73.5,51,0
30.8,69,98,0
24.2,92.1,764,1
26.9,86.2,3065,2
26,90.6,3732,2
27.7,62.9,73,0
27.3,95.9,3197,2
25.3,87.3,1433,2
34.1,45.8,135,0
29.2,76.3,216,0
29.1,74.2,274,0
25.8,90.5,2038,2
28.5,68.1,125,0
31,42.9,104,0
27.7,78.6,1304,2
28.7,77.4,116,0
22,99.7,3814,2
25.6,97.9,3252,2
35.6,41.9,46,1
24.8,94.5,572,1
26.5,86.1,1770,2
37.6,62.3,116,1
31.5,51.6,59,0
27.5,79.5,191,0
27.2,65.6,211,0
23.1,91.3,746,1
27.7,94.4,2449,2
37,53.8,4,1
33,60.3,10,0
29.3,79.4,282,0
27.4,60.7,5,0
27.1,86.2,1570,2
31.6,78.9,82,0
33.6,43.2,50,0
31.7,62,31,0
32.1,40.6,117,0
24.5,95.6,2235,2
32.3,68.1,111,0
29.5,75.7,65,0
27.5,93,2737,2
30.5,67.8,248,0
31.7,67.9,246,0
31.2,75.9,137,0
24,92.6,3983,2
35,48.7,125,0
23,90.8,382,1
29.4,74,183,0
32.2,70.3,159,0
31.5,41,4,0
32.8,40.8,69,0
33.7,45.2,33,0
32.6,48,25,0
26.1,86.1,2349,2
33,40.1,35,0
26.7,87.4,2718,2
32.5,64.7,27,0
29.8,74.9,13,0
31.1,57.2,106,0
27.6,68.9,226,0
27.6,74.7,27,0
32.6,45.3,125,0
37.1,54.8,67,1
30.9,69.6,227,0
30.5,74.9,235,0
32.3,49.1,25,0
23,95,576,1
30.8,43.8,111,0
31.5,47.1,94,0
36.7,41.3,30,1
32.9,62.2,219,0
22,99.8,3503,2
28.3,85.8,1514,2
28.7,75.4,117,0
25.8,86,939,1
34.9,47.2,36,0
32.6,66.4,258,0
32.7,43.4,137,0
23.3,98.1,3320,2
30,42.9,142,0
29.5,67,68,0
27.8,86.6,2375,2
22.8,93.8,3512,2
27.3,87.6,1672,2
27,95.7,3188,2
26.3,91.8,2131,2
34.7,57.1,71,0
29.3,69.3,22,0
30.5,67.1,103,0
34.3,50.8,66,0
23.3,91.4,214,1
25.5,94.6,2922,2
23.8,89.1,2996,2
23.7,87.7,2516,2
24.7,95.7,3182,2
29.7,72.1,14,0
23.7,88,2843,2
23.1,92.8,3315,2
27.4,87.4,1671,2
29.4,69.2,217,0
30,72.2,110,0
27.4,76.5,1807,2
28.7,85.6,1929,2
24.9,85.9,2050,2
28.7,88.9,1613,2
31.3,44.7,56,0
32.5,45.7,142,0
27.3,66.7,116,0
22.5,94.1,274,1
23.9,94.8,3346,2
28.3,69,178,0
34.6,44.1,87,0
36.2,46.9,113,1
25.7,89.4,1488,2
32.2,70.7,48,0
32.5,49.9,122,0
24.7,91.1,3328,2
33.8,54.1,17,0
35.7,53.2,112,1
30.4,63.1,263,0
27.7,89.9,3481,2
25.6,95.4,2054,2
35.7,56.5,64,1
28.5,63.9,254,0
30.8,60,66,0
25.8,94.4,2095,2
24.4,98.1,3451,2
22.6,94.1,3822,2
23.1,86.1,2150,2
23.6,96.4,3308,2
32.4,76.3,10,0
33,54.8,139,0
24.7,95.1,2904,2
28.8,79,279,0
34.5,64.6,127,0
33.9,52.8,8,0
30.8,65.2,245,0
23.7,91.3,228,1
32.2,40.5,145,0
31.9,70,33,0
30.9,76.6,86,0
31.1,46.6,30,0
26,92.8,2820,2
37.3,50.5,121,1
29.1,79.2,192,0
34.8,46.1,148,0
25.2,96.9,2186,2
34.5,51.9,110,0
22.5,94.8,3750,2
34.8,41.3,108,0
35,51.9,72,0
35.8,52.4,103,1
28.5,76.4,228,0
37.7,40.1,11,1
27.5,78.3,16,0
23.8,91.9,3215,2
26.2,94.9,2373,2
25.9,99,467,1
37.9,63.6,46,1
34.7,65,25,0
32.5,60.7,116,0
25.8,76.7,1626,2
23.9,98.6,3934,2
30.1,72.9,13,0
28.4,62.4,97,0
25.7,90.7,2982,2
32.5,53.5,92,0
28,82.8,1292,2
22.9,90.2,369,1
22,91.9,4062,2
30.4,42.2,61,0
30.8,77.5,238,0
27.6,66.7,64,0
30.9,48.9,67,0
27.4,79.2,1748,2
23.7,93.8,3963,2
37.6,59.7,123,1
32.3,78.9,10,0
26,97.4,3771,2
37.5,56.2,116,1
23.6,85.6,2824,2
31.5,59.5,5,0
26.1,87.8,3122,2
30.2,65.2,177,0
33,77.9,226,0
31.8,53.4,72,0
27.3,90.9,2951,2
31,62.2,75,0
32.6,63.3,138,0
33.3,49.3,71,0
25.2,83,836,1
35.5,41.9,80,1
37.1,52.9,114,1
24.7,93.8,3312,2
27,93.6,2352,2
31.3,48.4,44,0
27.7,84.3,1221,2
37.1,64,30,1
23.6,89.4,2081,2
27.2,91.6,2294,2
30.7,48.2,16,0
33,40.2,108,0
23.5,94.9,2585,2
32,67.8,221,0
26.9,87.3,2483,2
32.4,57.7,149,0
26.9,75.9,1943,2
37,64.3,28,1
30.9,71.9,6,0
36.6,49.3,57,1
31.3,51.7,3,0
29.7,63.3,284,0
25.9,76.2,1773,2
31.1,61.7,125,0
33.5,63.6,100,0
23.6,92.7,586,1
32.6,58.1,63,0
26.6,92.3,2491,2
32.8,63.7,144,0
31.2,51.3,49,0
26.1,86.7,2692,2
